ID,Titre,Prix,Date de publication,Type de carburant,Transmission,Créateur,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Première main,Puissance fiscale,Équipements,Ville du vendeur,Dossier d'images,Dédouané
467479,JAGUAR  F-pace,505 000 Dhs,2025-04-27,Essence,Automatique,KIFAL AUTO,Casablanca,14 000,JAGUAR,F-pace,N/A,N/A,11,"Référence kifal : #veh0000wrn kifal auto s'occupe de la vente d'une jaguar f-pace i - ph1 - 2.0t prestige 8 bva 250ch pour le compte de son client particulier. la voiture est expertisée suivant 150 points de contrôles et ne présente pas d'accident ou de blocage administratif. kifal auto n'a pas de garage, la voiture est chez son propriétaire à casablanca. il n'y a pas de frais pour l'acheteur. veuillez nous contacter pour plus d'informations ou pour voir le véhicule. marque : jaguar modele : f-pace version : 2022 carburant : essence transmission : automatique kilométrage : 14 567 km mise en circulation : 10-2022 1ere main : oui origine : ww maroc.",Casablanca,467479_JAGUAR_F-pace,2022
467481,LAND-ROVER  Range rover sport,1 250 000 Dhs,2025-04-27,Diesel,Automatique,KIFAL AUTO,Casablanca,69 000,LAND-ROVER,Range,N/A,N/A,12,"Référence kifal : #veh0000wtw kifal auto s'occupe de la vente d'une land-rover range rover sport iii - ph1 - 3.0 d dynamic 3.0 d mhev dynamic hse bva 350ch pour le compte de son client particulier. la voiture est expertisée suivant 150 points de contrôles et ne présente pas d'accident ou de blocage administratif. kifal auto n'a pas de garage, la voiture est chez son propriétaire à casablanca. il n'y a pas de frais pour l'acheteur. veuillez nous contacter pour plus d'informations ou pour voir le véhicule. marque : land-rover modele : range rover sport version : 2023 carburant : diesel transmission : automatique kilométrage : 67 083 km mise en circulation : 04-2023 1ere main : non origine : ww maroc.",Casablanca,467481_LAND-ROVER_Range_rover_sport,2023
467482,LAND-ROVER  Range rover,300 000 Dhs,2025-04-27,Diesel,Automatique,KIFAL AUTO,Casablanca,179 000,LAND-ROVER,Range,N/A,N/A,18,"Référence kifal : #veh0000wu2 kifal auto s'occupe de la vente d'une land-rover range rover iv - ph1 - 4.4 sdv8 vogue bva 339ch pour le compte de son client particulier. la voiture est expertisée suivant 150 points de contrôles et ne présente pas d'accident ou de blocage administratif. kifal auto n'a pas de garage, la voiture est chez son propriétaire à casablanca. il n'y a pas de frais pour l'acheteur. veuillez nous contacter pour plus d'informations ou pour voir le véhicule. marque : land-rover modele : range rover version : 2014 carburant : diesel transmission : automatique kilométrage : 171 090 km mise en circulation : 03-2014 1ere main : oui origine : ww maroc.",Casablanca,467482_LAND-ROVER_Range_rover,2014
469624,BMW  X4,325 000 Dhs,2025-04-27,Diesel,Automatique,AUTOMOTIVA CARS,Casablanca,79 000,BMW,X4,5,N/A,8,Ww maroc 2 ème main entretien à jour jamais accidentée peinture 100% d'origine kilométrage certifié 78000km excellent état 1ère mec 07/2018,Casablanca,469624_BMW_X4,2018
467360,TOYOTA  Corolla,205 000 Dhs,2025-04-27,Hybride,Automatique,AUTOMOTIVA CARS,Casablanca,64 000,TOYOTA,Corolla,5,Oui,10,"Ww maroc 1ère main entretien maison jamais accidentée peinture d'origine kilométrage certifié 65000km 1ère mec nov 2020 etat excellent option: cuir, radar av ar, caméra, chargeur sans fil...",Casablanca,467360_TOYOTA_Corolla,2021
464380,MERCEDES-BENZ  Classe c,299 000 Dhs,2025-04-27,Diesel,Automatique,AUTOMOTIVA CARS,Casablanca,149 000,MERCEDES-BENZ,Classe,5,N/A,8,Ww maroc 2eme main avec historique complet entretien maison jamais accidentÉe État showroom rien a prÉvoir motorisation 250d finition avantgard 1Ère mec fin 2017 prix légèrement négociable,Casablanca,464380_MERCEDES-BENZ_Classe_c,2017
469697,JEEP  Renegade,215 000 Dhs,2025-04-27,Diesel,Automatique,Nom masqué,Casablanca,130 000,JEEP,Renegade,5,Oui,6,"- jeep renegade limited - modèle : 2022 - kilométrage : 130 000,00 - acheter au maroc 1 et main. - ⁠je met en vente ma voiture jeep renegade limited toutes options : jps - freinage d urgence - stationnement automatique - ordinateur de bord grand écran ….. une voiture bien entretenue, avec une consommation très économique , prix légèrement négociable.",Casablanca,469697_JEEP_Renegade,N/A
467787,KIA  Picanto,113 000 Dhs,2025-04-27,Essence,Manuelle,TOYOTA OCCASIONS,Casablanca,49 000,KIA,Picanto,5,Oui,6,Kia picanto essence manuelle 2022 à casablanca,Casablanca,467787_KIA_Picanto,2022
469357,DACIA  Sandero,112 000 Dhs,2025-04-27,Essence,Manuelle,TOYOTA OCCASIONS,Casablanca,34 000,DACIA,Sandero,5,Oui,6,Dacia sandero essence manuelle 2023 33000km,Casablanca,469357_DACIA_Sandero,2023
469127,TOYOTA  Corolla,205 000 Dhs,2025-04-27,Hybride,Automatique,TOYOTA OCCASIONS,Casablanca,49 000,TOYOTA,Corolla,N/A,N/A,10,Corolla distinctifplus,Casablanca,469127_TOYOTA_Corolla,2019
468112,KIA  Picanto,113 000 Dhs,2025-04-27,Essence,Manuelle,TOYOTA OCCASIONS,Casablanca,54 000,KIA,Picanto,5,Oui,6,Kia picanto manuelle essence 12/2022 59000km,Casablanca,468112_KIA_Picanto,2022
469408,CITROEN  C-elysee,98 000 Dhs,2025-04-27,Essence,Manuelle,TOYOTA OCCASIONS,Casablanca,119 000,CITROEN,C-elysee,5,Oui,6,Citroen c-elysée essence 6ch manuelle **** km,Casablanca,469408_CITROEN_C-elysee,2020
